name,url,name_length
bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,9
ivysaur,https://pokeapi.co/api/v2/pokemon/2/,7
venusaur,https://pokeapi.co/api/v2/pokemon/3/,8
charmander,https://pokeapi.co/api/v2/pokemon/4/,10
charmeleon,https://pokeapi.co/api/v2/pokemon/5/,10
charizard,https://pokeapi.co/api/v2/pokemon/6/,9
squirtle,https://pokeapi.co/api/v2/pokemon/7/,8
wartortle,https://pokeapi.co/api/v2/pokemon/8/,9
blastoise,https://pokeapi.co/api/v2/pokemon/9/,9
caterpie,https://pokeapi.co/api/v2/pokemon/10/,8
metapod,https://pokeapi.co/api/v2/pokemon/11/,7
butterfree,https://pokeapi.co/api/v2/pokemon/12/,10
weedle,https://pokeapi.co/api/v2/pokemon/13/,6
kakuna,https://pokeapi.co/api/v2/pokemon/14/,6
beedrill,https://pokeapi.co/api/v2/pokemon/15/,8
pidgey,https://pokeapi.co/api/v2/pokemon/16/,6
pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,9
pidgeot,https://pokeapi.co/api/v2/pokemon/18/,7
rattata,https://pokeapi.co/api/v2/pokemon/19/,7
raticate,https://pokeapi.co/api/v2/pokemon/20/,8
